"Frequency (Hz)","Absolute Amplitude (a.u.)"
7.992187500E3,4.623340253E-3
8.015625000E3,3.394794100E-3
8.039062500E3,8.577006949E-3
8.062500000E3,4.484799129E-3
8.085937500E3,1.384678711E-3
8.109375000E3,9.556641651E-3
8.132812500E3,1.099070671E-2
8.156250000E3,1.146576603E-2
8.179687500E3,1.063491084E-3
8.203125000E3,5.402873833E-3
8.226562500E3,3.879549163E-3
8.250000000E3,1.128606047E-2
8.273437500E3,6.784915108E-3
8.296875000E3,3.222748653E-3
8.320312500E3,3.549688515E-3
8.343750000E3,5.574753796E-3
8.367187500E3,4.207936672E-3
8.390625000E3,4.257051322E-3
8.414062500E3,2.953409400E-3
8.437500000E3,2.831751578E-3
8.460937500E3,6.074063544E-3
8.484375000E3,7.103641784E-4
8.507812500E3,3.301403017E-3
8.531250000E3,2.201807260E-3
8.554687500E3,3.609501697E-3
8.578125000E3,1.004033220E-2
8.601562500E3,8.673099574E-3
8.625000000E3,5.853640148E-3
8.648437500E3,4.257417770E-3
8.671875000E3,5.744555671E-3
8.695312500E3,8.044397012E-3
8.718750000E3,1.633216027E-3
8.742187500E3,2.504992106E-3
8.765625000E3,3.060672449E-3
8.789062500E3,6.209749703E-3
8.812500000E3,3.052707600E-3
8.835937500E3,1.982616630E-3
8.859375000E3,2.510669180E-3
8.882812500E3,4.053631537E-3
8.906250000E3,3.523548193E-3
8.929687500E3,2.676953239E-3
8.953125000E3,2.201777022E-3
8.976562500E3,2.189220641E-3
9.000000000E3,6.977771843E-3
9.023437500E3,6.666435374E-4
9.046875000E3,2.832615139E-3
9.070312500E3,3.124360139E-3
9.093750000E3,1.878732134E-3
9.117187500E3,1.625937067E-3
9.140625000E3,1.839517785E-3
9.164062500E3,1.596164695E-3
9.187500000E3,1.809137681E-3
9.210937500E3,5.461570753E-3
9.234375000E3,2.581054146E-3
9.257812500E3,2.433237295E-3
9.281250000E3,5.684770966E-3
9.304687500E3,4.943510756E-3
9.328125000E3,5.505443033E-3
9.351562500E3,4.785617947E-3
9.375000000E3,2.674763777E-3
9.398437500E3,2.545062988E-3
9.421875000E3,5.287920929E-3
9.445312500E3,5.755894192E-3
9.468750000E3,3.735786036E-3
9.492187500E3,5.077786817E-3
9.515625000E3,5.717611557E-3
9.539062500E3,7.168772061E-4
9.562500000E3,2.652362439E-4
