"Time (s)","Recording (a.u.)"
5.312500000E-3,1.740040956E-3
5.333333333E-3,1.851054956E-3
5.354166667E-3,2.018321306E-3
5.375000000E-3,2.173200948E-3
5.395833333E-3,2.291569253E-3
5.416666667E-3,2.334155608E-3
5.437500000E-3,2.355976496E-3
5.458333333E-3,2.393121365E-3
5.479166667E-3,2.456898103E-3
5.500000000E-3,2.693897812E-3
5.520833333E-3,3.230485367E-3
5.541666667E-3,4.098466597E-3
5.562500000E-3,5.110580474E-3
5.583333333E-3,6.014822982E-3
5.604166667E-3,6.778563373E-3
5.625000000E-3,7.468138821E-3
5.645833333E-3,8.161257952E-3
5.666666667E-3,8.900530636E-3
5.687500000E-3,9.669722989E-3
5.708333333E-3,1.032666489E-2
5.729166667E-3,1.060169004E-2
5.750000000E-3,1.037901640E-2
5.770833333E-3,9.809204377E-3
5.791666667E-3,9.238632396E-3
5.812500000E-3,8.928734809E-3
5.833333333E-3,8.876821026E-3
5.854166667E-3,8.988047950E-3
5.875000000E-3,9.118170477E-3
5.895833333E-3,9.165597148E-3
5.916666667E-3,9.100842290E-3
5.937500000E-3,8.941567503E-3
5.958333333E-3,8.829501458E-3
5.979166667E-3,8.819092065E-3
6.000000000E-3,8.805463091E-3
6.020833333E-3,8.600524627E-3
6.041666667E-3,8.063131943E-3
6.062500000E-3,7.295428775E-3
6.083333333E-3,6.468718406E-3
6.104166667E-3,5.674747750E-3
6.125000000E-3,4.949573893E-3
6.145833333E-3,4.369336646E-3
6.166666667E-3,3.946323879E-3
6.187500000E-3,3.480021376E-3
6.208333333E-3,2.842389280E-3
6.229166667E-3,2.102126367E-3
6.250000000E-3,1.411539153E-3
6.270833333E-3,7.251149509E-4
6.291666667E-3,-1.409347897E-4
6.312500000E-3,-1.121972920E-3
6.333333333E-3,-2.069638344E-3
6.354166667E-3,-3.026425838E-3
6.375000000E-3,-4.086493980E-3
6.395833333E-3,-5.121622700E-3
6.416666667E-3,-5.844898056E-3
6.437500000E-3,-6.149273831E-3
6.458333333E-3,-6.277020089E-3
6.479166667E-3,-6.493760273E-3
6.500000000E-3,-6.786263548E-3
6.520833333E-3,-7.090679836E-3
6.541666667E-3,-7.367062848E-3
6.562500000E-3,-7.583526894E-3
6.583333333E-3,-7.797453087E-3
6.604166667E-3,-8.064307272E-3
6.625000000E-3,-8.479636163E-3
6.645833333E-3,-9.087014012E-3
6.666666667E-3,-9.762915783E-3
6.687500000E-3,-1.045328099E-2
6.708333333E-3,-1.120051835E-2
6.729166667E-3,-1.197865047E-2
6.750000000E-3,-1.267435215E-2
6.770833333E-3,-1.315874979E-2
